input_utterance,utterance_template,intent,seed_id,source,paraphrase_value,paraphrase_template,bertscore,ted,selected_templates_related_paraphrases,ted_to_selected_templates,_is_similar
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,( NP ( NP ( DT ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ),FindHotel,7,ParaQuality,"Could you recommend an affordable lodging option near Seattle for the upcoming night, accommodating 2 individuals?","( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ( , ) ( S ) ) ( . ) )",0.89806074,9.0,"['Discover the top-rated images labeled with #LOVE', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
Are there any cheap hotels for 7-day stay somewhere near Riverside,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( ADVP ( RB ) ( IN ) ( NP ) ) ),FindHotel,8,ParaQuality,I need help locating affordable hotels available for a span of seven days around Riverside.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ) ( . ) ),0.9130252,10.0,"['display the airlines that operate flights between Boston and Denver', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 4.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
Send an email to Phil telling her that ''I got you'',( S ( VP ( VB ) ( NP ) ( PP ) ) ( '' ) ( '' ) ),SendMail,9,ParaQuality,Forward a message to Phil saying that I have succeeded.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.91542566,3.0,"['Retrieve cooking tutorials', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
Give me 5 conference articles about text mining,( S ( VP ( VB ) ( NP ) ( NP ) ) ),FindArticles,10,ParaQuality,"Retrieve conference articles discussing text mining, at least 5 of them.",( S ( VP ( VB ) ( NP ) ) ( . ) ),0.90456575,2.0,"['Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
I am looking for the latest scientific article related to Machine Learning,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ),FindArticles,11,ParaQuality,Can you locate the most recent scholarly publication about Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.86353904,5.0,"['locate Fox Theatres featuring The Caretaker', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
Create a comment saying ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ),CreateComment,12,ParaQuality,Could you create a comment with the phrase 'Best Voice Ever'?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( ADVP ) ) ( '' ) ( . ) ),0.9177103,6.0,"['locate Fox Theatres featuring The Caretaker', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 8.0}",False
Jump to the previous song,( S ( VP ( VB ) ( PP ) ) ),NavigatePlaylist,13,ParaQuality,Go back to the last song,( S ( VP ( VB ) ( ADVP ) ) ),0.9230248,1.0,"['Locate the trending pictures tagged as #LOVE', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
Skip to the next song,( S ( VP ( VB ) ( PP ) ) ),NavigatePlaylist,14,ParaQuality,Proceed to the following song,( S ( VP ( VB ) ( PP ) ) ),0.92221564,0.0,"['Retrieve cooking tutorials', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 0.0}",True
Where can I upgrade my laptop ?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),FindStores,15,ParaQuality,Which places offer laptop upgrades?,( SBARQ ( WHNP ( WDT ) ( NNS ) ) ( SQ ( VP ) ) ( . ) ),0.89269733,5.0,"['find the cheapest price from Denver to Pittsburgh', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
Could you offer three barbershops in Newtown,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ),FindStores,16,ParaQuality,I need recommendations for three barber shops located in Newtown.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ) ( . ) ),0.9180587,4.0,"['find the cheapest price from Denver to Pittsburgh', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 4.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
Let me have top three convenience stores near Newtown,( S ( VP ( VB ) ( S ) ) ),FindStores,17,ParaQuality,I'd appreciate it if you could find the top three convenience stores close to Newtown.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.89146084,5.0,"['Book a cab for me to get from the airport back home', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
I want reviews for McDonald's at Kensington st.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( PP ) ) ( . ) ),GetReviews,18,ParaQuality,I'm interested in seeing reviews for the McDonald's located at Kensington st.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ) ( . ) ),0.9440651,2.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
How far is the closest cab,( SBARQ ( WHADVP ( WRB ) ( RB ) ) ( VP ( VBZ ) ( NP ) ) ),FindTaxi,19,ParaQuality,How close is the nearest cab?,( SBARQ ( WHADVP ( WRB ) ( RB ) ) ( VP ( VBZ ) ( NP ) ) ( . ) ),0.9456841,1.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the previous music track']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
Request a taxi from the airport to home,( S ( VP ( VB ) ( NP ) ( PP ) ) ),BookTaxi,20,ParaQuality,Arrange for a taxi from the airport to my place,( S ( VP ( VB ) ( PP ) ) ),0.93033165,1.0,"['Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 0.0}",True
What is the forecast for Harrison-Crawford State Forest,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),GetWeather,21,SNIPS,I'm interested in knowing the weather forecast for Harrison-Crawford State Forest.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ) ( . ) ),0.94485945,6.0,"['Discover the top-rated images labeled with #LOVE', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
what is the forecast for colder in Anston,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),GetWeather,22,SNIPS,I would like to know what the weather forecast is saying about colder temperatures in Anston.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.9117122,6.0,"['Retrieve several attractive photos showcasing the Opera House, all measuring 1024 pixels in width and 768 pixels in height', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
How hot is it in Pesotum,( SBARQ ( WHADJP ( WRB ) ( JJ ) ) ( VP ( VBZ ) ( NP ) ( PP ) ) ),GetWeather,23,SNIPS,Can you tell me how hot it gets in Pesotum?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),0.92009526,8.0,"['Find videos on how to cook', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),BookRestaurant,24,SNIPS,"Is there a pub available with Italian dressing that can accommodate a party of 5 on February 11, 2033?",( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) ),0.9212667,7.0,"['display the airlines that operate flights between Boston and Denver', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 8.0}",False
Book a table for eight people please,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),BookRestaurant,26,SNIPS,I would like to make a reservation for eight people at a restaurant.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.8850774,6.0,"['Discover the top-rated images labeled with #LOVE', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
Please add Ruud Jolie to my playlist Guest List Polygon,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),AddToPlaylist,27,SNIPS,Discover places where I can have Italian food.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.83323836,4.0,"['Retrieve cooking tutorials', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
add this artist named Kirk Hammett to my playlist Party,( S ( VP ( VB ) ( NP ) ( PP ) ) ),AddToPlaylist,28,SNIPS,Add Kirk Hammett as an artist to my Party playlist,( S ( VP ( VB ) ( NP ) ( PP ) ) ),0.9226775,0.0,"['Retrieve cooking tutorials', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
I want to put a copy of this tune into Skatepark Punks,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),AddToPlaylist,29,SNIPS,Help me find restaurants that offer Italian food.,( S ( VP ( VB ) ( NP ) ( S ) ) ( . ) ),0.8537784,5.0,"['Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),RateBook,30,SNIPS,"Locate episode 4 out of 6 from With Lee in Virginia, A Story of the American Civil War chronicle.",( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.91344863,6.0,"['Locate the trending pictures tagged as #LOVE', 'Skip to the previous music track']","{'( S ( VP ( VB ) ( NP ) ) )': 2.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
Rate this album two out of 6,( S ( VP ( VB ) ( NP ) ( NP ) ) ),RateBook,31,SNIPS,I would rate this album with a score of two out of six.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.92397475,6.0,"['Book a cab for me to get from the airport back home', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
Give the current part of the saga 4 points out of 6.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),RateBook,32,SNIPS,Assign a score of 4 out of 6 to the current part of the saga.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.9312731,1.0,"['Discover the top-rated images labeled with #LOVE', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 2.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
Can you play some fifties music by lavern baker,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),PlayMusic,33,SNIPS,"I would like to listen to fifties music by Lavern Baker, can you make that happen?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",0.89328754,6.0,"['find the cheapest price from Denver to Pittsburgh', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
Play a 1964 track from Shahram Nazeri on Pandora.,( S ( VP ( VB ) ( NP ) ) ( . ) ),PlayMusic,34,SNIPS,Find and play a track by Shahram Nazeri released in 1964 on Pandora.,( S ( VP ( VB ) ( CC ) ( VB ) ( NP ) ) ( . ) ),0.94814223,2.0,"['Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 3.0, '( S ( VP ( VB ) ( PP ) ) )': 4.0}",True
Please play me some Satire music,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),PlayMusic,35,SNIPS,I'd like to listen to some music that has a satirical theme.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.888606,6.0,"['Find videos on how to cook', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
When is Crime and Punishment U.S.A. showing?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) ),SearchScreeningEvent,36,SNIPS,What time is the showing of Crime and Punishment U.S.A.?,( SBARQ ( WHNP ( WDT ) ( NN ) ) ( VP ( VBZ ) ( NP ) ) ( . ) ),0.9173176,5.0,"['Retrieve cooking tutorials', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
find Fox Theatres with The Caretaker,( S ( VP ( VB ) ( NP ) ( PP ) ) ),SearchScreeningEvent,37,SNIPS,discover the screenings of The Caretaker at Fox Theatres,( S ( VP ( VB ) ( NP ) ) ),0.9145736,1.0,"['locate Fox Theatres featuring The Caretaker', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
I would like to watch The Wedding Ring at the movie theatre,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SearchScreeningEvent,38,SNIPS,"I'm interested in seeing The Wedding Ring, can you provide me with movie times at the theater?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",0.9152067,4.0,"['Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
I want to read the book The Lion Sleeps Tonight,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SearchCreativeWork,39,SNIPS,Discover places where I can find Italian food,( S ( VP ( VB ) ( NP ) ) ),0.8428073,4.0,"['Find videos on how to cook', 'Skip to the previous music track']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
find Join the Dots: B-sides and Rarities,( S ( VP ( VB ) ( S ) ) ),SearchCreativeWork,40,SNIPS,locate the album Join the Dots: B-sides and Rarities,( S ( S ( VP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),0.93450654,6.0,"['Book a cab for me to get from the airport back home', 'Skip to the previous music track']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
Where can I buy a used copy of the game called I Lie Around?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),SearchCreativeWork,41,SNIPS,Can you show me where to find a used copy of the game named I Lay Around?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),0.9336376,7.0,"['Retrieve several attractive photos showcasing the Opera House, all measuring 1024 pixels in width and 768 pixels in height', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
please give me the cheapest flight from denver to pittsburgh,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),flight,42,ATIS,Can you locate the most affordable flight option from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.90837306,6.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),flight,43,ATIS,Can you search for available flights from Milwaukee to Orlando? I prefer departing either on Wednesday evening or Thursday morning.,( S ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) ),0.91339046,6.0,"['locate Fox Theatres featuring The Caretaker', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 9.0, '( S ( VP ( VB ) ( PP ) ) )': 10.0}",False
what is the lowest fare from denver to pittsburgh,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) ),airfare,44,ATIS,Can you tell me the most economical fare for traveling from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.89151955,8.0,"['Find videos on how to cook', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
what is the cheapest one way fare from boston to baltimore,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),airfare,45,ATIS,Can you find me the most affordable single ticket price from Boston to Baltimore?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.8950258,8.0,"['Discover the top-rated images labeled with #LOVE', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
what is the ground transportation from oakland to san francisco,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),ground_service,46,ATIS,What are the options for transportation from Oakland to San Francisco?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBP ) ( NP ) ) ( . ) ),0.904607,4.0,"['Retrieve cooking tutorials', 'Skip to the previous music track']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
can i get a rental car in dallas,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),ground_service,47,ATIS,Could I possibly obtain a rental vehicle in Dallas?,( SQ ( MD ) ( NP ( PRP ) ) ( ADVP ( RB ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.93131584,3.0,"['Discover the top-rated images labeled with #LOVE', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 8.0, '( S ( VP ( VB ) ( PP ) ) )': 8.0}",False
what airlines fly between boston and atlanta,( SBAR ( WHNP ( WP ) ) ( S ( NP ) ( VP ) ) ),airline,48,ATIS,Can you tell me which airlines provide service for the route between Boston and Atlanta?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),0.8837379,8.0,"['Retrieve several attractive photos showcasing the Opera House, all measuring 1024 pixels in width and 768 pixels in height', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
show me the airlines between boston and denver,( S ( VP ( VB ) ( S ) ) ),airline,49,ATIS,Display a list of airlines operating flights between Boston and Denver,( S ( VP ( VB ) ( NP ) ) ),0.89133936,1.0,"['Retrieve cooking tutorials', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
what does ls stand for,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),abbreviation,50,ATIS,Tell me the definition of LS,( S ( VP ( VB ) ( NP ) ( NP ) ) ),0.82616,6.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
what does dfw mean,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),abbreviation,51,ATIS,Tell me the definition of DFW.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.892536,7.0,"['Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 2.0, '( S ( VP ( VB ) ( PP ) ) )': 3.0}",True
Terminate i-a541 now,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),EndEC2Instance,1,ParaQuality,Terminate the operation of i-a541,( S ( VP ( VB ) ( NP ) ) ),0.9195213,1.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
Search for cooking videos,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),SearchWeb,2,ParaQuality,Locate recipes and tutorials for cooking,( S ( VP ( VB ) ( NP ) ) ),0.8949948,4.0,"['discover Fox Theatres presenting The Caretaker', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
Find most popular photos tagged #LOVE,( S ( S ( VP ) ) ( VP ( VBP ) ) ),SearchWeb,3,ParaQuality,Locate the most popular pictures tagged #LOVE,( S ( S ( VP ) ) ( VP ( VBP ) ) ),0.9639961,0.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 3.0, '( S ( VP ( VB ) ( PP ) ) )': 3.0}",True
Search for a few nice photos matching Opera House with size 1024px * 768px,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),SearchWeb,4,ParaQuality,Discover several high-quality photographs depicting Opera House in the size of 1024 pixels by 768 pixels.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.9220043,5.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
Are the burglar alarms in the office malfunctioning ?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ( VP ( VBG ) ) ( . ) ),CheckDevice,5,ParaQuality,Is there a problem with the burglar alarms in the office?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) ),0.948713,9.0,"['Locate the trending pictures tagged as #LOVE', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
Is the TV in the house off ?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ) ) ( PRT ( RP ) ) ( . ) ),CheckDevice,6,ParaQuality,Is it that the television in the dwelling is not on?,( SQ ( VBZ ) ( NP ( PRP ) ) ( SBAR ( IN ) ( S ) ) ( . ) ),0.90733325,6.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,( NP ( NP ( DT ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ),FindHotel,7,ParaQuality,"I'm looking for a cost-effective place to stay near Seattle tomorrow, which can accommodate two people.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),0.8911166,7.0,"['Discover the top-rated images labeled with #LOVE', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
Are there any cheap hotels for 7-day stay somewhere near Riverside,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( ADVP ( RB ) ( IN ) ( NP ) ) ),FindHotel,8,ParaQuality,Is there any chance to book low-cost lodging options near Riverside for a duration of one week?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( DT ) ( NN ) ( S ) ) ( . ) ),0.9276295,7.0,"['display the airlines that operate flights between Boston and Denver', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 8.0}",False
Send an email to Phil telling her that ''I got you'',( S ( VP ( VB ) ( NP ) ( PP ) ) ( '' ) ( '' ) ),SendMail,9,ParaQuality,Deliver an email to Phil with the message ''I've got your back''.,( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ) ( '' ) ( '' ) ( . ) ),0.94834125,2.0,"['Retrieve cooking tutorials', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
Give me 5 conference articles about text mining,( S ( VP ( VB ) ( NP ) ( NP ) ) ),FindArticles,10,ParaQuality,Find me information on text mining from 5 conference articles.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.95638794,1.0,"['Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 2.0, '( S ( VP ( VB ) ( PP ) ) )': 3.0}",True
I am looking for the latest scientific article related to Machine Learning,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ),FindArticles,11,ParaQuality,I'm in search of a recently published scientific article on the topic of Machine Learning,( S ( NP ( PRP ) ) ( VP ( VBP ) ( PP ) ) ),0.90982974,1.0,"['locate Fox Theatres featuring The Caretaker', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 4.0, '( S ( VP ( VB ) ( PP ) ) )': 3.0}",True
Create a comment saying ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ),CreateComment,12,ParaQuality,Compose a comment stating ''Best Voice Ever''.,( S ( VP ( VB ) ( NP ) ) ( '' ) ( . ) ),0.94975245,1.0,"['locate Fox Theatres featuring The Caretaker', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 2.0, '( S ( VP ( VB ) ( PP ) ) )': 3.0}",True
