input_utterance,intent,parameters,utterance_template,source,seed_id,p1,p1_template,p2,p2_template,p3,p3_template,p1_bertscore,p2_bertscore,p3_bertscore,p1_duplicate,p1_semantics,p2_duplicate,p2_semantics,p3_duplicate,p3_semantics,p1_ted,p2_ted,p3_ted,p1_correct,p2_correct,p3_correct
find Join the Dots: B-sides and Rarities,SearchCreativeWork,"[['object_name', 'Join the Dots: B-sides and Rarities']]",( S ( VP ( VB ) ( S ) ) ),SNIPS,40,search for Join the Dots: B-sides and Rarities,( NP ( NP ( NP ) ( PP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),locate Join the Dots: B-sides and Rarities,( S ( S ( VP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),discover Join the Dots: B-sides and Rarities,( S ( VP ( VB ) ( S ) ) ),0.9817496,0.9994621,0.99950874,True,True,True,True,True,True,9.0,6.0,0.0,False,False,False
Where can I buy a used copy of the game called I Lie Around?,SearchCreativeWork,"[['object_type', 'game'], ['object_name', 'I Lie Around']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),SNIPS,41,Could you tell me where I can purchase a second-hand version of the game called I Lie Around?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),I'm looking for a place to buy a pre-owned copy of the game called I Lie Around. Any suggestions?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ( NP ( DT ) ( NNS ) ) ( . ) ),Do you know any stores that sell used copies of the game named I Lie Around?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.94201756,0.9265504,0.92404395,False,True,False,True,False,True,7.0,10.0,7.0,True,True,True
please give me the cheapest flight from denver to pittsburgh,flight,"[['cost_relative', 'cheapest'], ['fromloc.city_name', 'denver'], ['toloc.city_name', 'pittsburgh']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),ATIS,42,Can you find the most affordable flight from Denver to Pittsburgh for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),I need to know the least expensive flight option from Denver to Pittsburgh.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) ),Could you please provide information on the cheapest flight available between Denver and Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),0.9145154,0.91304725,0.89781326,False,True,False,True,False,True,6.0,6.0,8.0,True,True,True
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,flight,"[['fromloc.city_name', 'milwaukee'], ['toloc.city_name', 'orlando'], ['depart_date.day_name', 'wednesday'], ['depart_time.period_of_day', 'evening'], ['depart_date.day_name', 'thursday'], ['depart_time.period_of_day', 'morning']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),ATIS,43,book a flight from Milwaukee to Orlando on either Wednesday evening or Thursday morning,( S ( VP ( VB ) ( NP ) ( PP ) ) ),find me flights departing from Milwaukee to Orlando on either Wednesday evening or Thursday morning,( S ( VP ( VB ) ( S ) ) ),search for flights between Milwaukee and Orlando with departure options on Wednesday evening or Thursday morning,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),0.93177724,0.92186725,0.9073858,False,True,False,True,False,True,5.0,3.0,5.0,True,True,True
what is the lowest fare from denver to pittsburgh,airfare,"[['cost_relative', 'lowest'], ['fromloc.city_name', 'denver'], ['toloc.city_name', 'pittsburgh']]",( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,44,find the cheapest price from Denver to Pittsburgh,( S ( VP ( VB ) ( NP ) ) ),what is the least expensive fare for a trip from Denver to Pittsburgh,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) ),can you show me the lowest cost for traveling from Denver to Pittsburgh,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),0.912085,0.938911,0.89830416,False,True,False,True,False,True,4.0,0.0,7.0,True,True,True
what is the cheapest one way fare from boston to baltimore,airfare,"[['cost_relative', 'cheapest'], ['round_trip', 'one way'], ['fromloc.city_name', 'boston'], ['toloc.city_name', 'baltimore']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,45,what is the least expensive one-way ticket cost from Boston to Baltimore,( S ( SBAR ( WHNP ) ( S ) ) ( VP ( NN ) ( PP ) ( PP ) ) ),how much does it cost for a single journey from Boston to Baltimore at the lowest fare,( SBARQ ( WHNP ( WRB ) ( JJ ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),what is the most budget-friendly one-way fare from Boston to Baltimore,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),0.94808376,0.90558857,0.9463858,False,True,False,True,False,True,6.0,5.0,0.0,True,True,True
what is the ground transportation from oakland to san francisco,ground_service,"[['fromloc.city_name', 'oakland'], ['toloc.city_name', 'san francisco']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,46,what are the transportation options from Oakland to San Francisco?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBP ) ( NP ) ) ( . ) ),how can I get from Oakland to San Francisco?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),tell me about the ground transport between Oakland and San Francisco.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.9080487,0.89025754,0.90882486,False,True,False,True,False,True,4.0,6.0,6.0,True,True,True
can i get a rental car in dallas,ground_service,"[['transport_type', 'rental car'], ['city_name', 'dallas']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),ATIS,47,is it possible for me to rent a car in dallas,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ),can i find a rental car in dallas,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),is there availability for renting a car in dallas,( VP ( VBZ ) ( NP ( PRP$ ) ) ( NP ( NP ) ( PP ) ) ),0.9405141,0.98665464,0.9290337,False,True,True,True,False,True,8.0,0.0,5.0,True,False,True
what airlines fly between boston and atlanta,airline,"[['fromloc.city_name', 'boston'], ['toloc.city_name', 'atlanta']]",( SBAR ( WHNP ( WP ) ) ( S ( NP ) ( VP ) ) ),ATIS,48,which airlines operate flights between boston and atlanta,( SBAR ( WHNP ( WDT ) ) ( S ( NP ) ( VP ) ) ),can you tell me the list of airlines that have flights from boston to atlanta,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),find me the airlines that fly from boston to atlanta,( S ( VP ( VB ) ( S ) ) ),0.9872868,0.92365927,0.9397578,True,True,False,True,False,True,1.0,7.0,5.0,False,True,True
show me the airlines between boston and denver,airline,"[['fromloc.city_name', 'boston'], ['toloc.city_name', 'denver']]",( S ( VP ( VB ) ( S ) ) ),ATIS,49,display the airlines that operate flights between Boston and Denver,( S ( VP ( VB ) ( NP ) ) ),find me a list of airlines flying from Boston to Denver,( S ( VP ( VB ) ( NP ) ( NP ) ) ),show me the carriers servicing the Boston-Denver route,( S ( VP ( VB ) ( S ) ) ),0.89598906,0.9234465,0.91571933,False,True,False,True,False,True,1.0,2.0,0.0,True,True,True
what does ls stand for,abbreviation,"[['meal_code', 'ls']]",( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),ATIS,50,what is the meaning of ls,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),what is the definition of ls,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),what does the acronym ls stand for,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),0.89299905,0.88323236,0.9512547,False,True,False,True,False,True,3.0,3.0,0.0,True,True,True
what does dfw mean,abbreviation,"[['airport_code', 'dfw']]",( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),ATIS,51,can you tell me what dfw means?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),could you explain the meaning of dfw?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),do you know the definition of dfw?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.9062431,0.8971676,0.89309055,False,True,False,True,False,True,8.0,8.0,8.0,True,True,True
Terminate i-a541 now,EndEC2Instance,"[['VM', 'i-a541']]",( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),ParaQuality,1,End i-a541 immediately,( NP ( NP ( NN ) ( NN ) ) ( ADVP ( RB ) ) ),Stop i-a541 right away,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),Cease i-a541 at once,( S ( VP ( VB ) ( NP ) ( PP ) ) ),0.9473825693130493,0.938965916633606,0.926023542881012,False,True,False,True,False,True,5.0,0.0,1.0,True,True,True
Search for cooking videos,SearchWeb,"[['query', 'cooking videos']]",( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,2,Find videos about cooking,( S ( VP ( VB ) ( NP ) ) ),Look up videos on how to cook,( S ( VP ( VB ) ( PRT ) ( NP ) ) ),Discover tutorials for cooking,( S ( VP ( VB ) ( NP ) ) ),0.93604576587677,0.9076690077781677,0.9277092218399048,False,True,False,True,False,True,4.0,4.0,4.0,True,True,True
Find most popular photos tagged #LOVE,SearchWeb,"[['Tag', '#LOVE']]",( S ( S ( VP ) ) ( VP ( VBP ) ) ),ParaQuality,3,Locate trending images with the hashtag #LOVE,( S ( VP ( VB ) ( S ) ) ),Search for the most popular pictures labeled #LOVE,( S ( NP ( NP ) ( PP ) ) ( VP ( VBP ) ) ),Discover the top-rated photos tagged with #LOVE,( S ( VP ( VB ) ( NP ) ) ),0.9253893494606018,0.9593809843063354,0.9530304670333862,False,True,False,True,False,True,2.0,3.0,3.0,True,True,True
Search for a few nice photos matching Opera House with size 1024px * 768px,SearchWeb,"[['size', '1024px * 768px'], ['query', 'Opera House']]",( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,4,Find some beautiful images that match Opera House with dimensions of 1024 pixels by 768 pixels.,( S ( VP ( VB ) ( NP ) ) ( . ) ),Locate a couple of lovely pictures that correspond to the Opera House and have a size of 1024px by 768px.,( S ( VP ( VB ) ( NP ) ) ( . ) ),Discover several appealing photos that align with the Opera House and have a resolution of 1024 x 768 pixels.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.9301578402519226,0.9178335070610046,0.9141291975975037,False,True,False,True,False,True,5.0,5.0,5.0,True,True,True
Are the burglar alarms in the office malfunctioning ?,CheckDevice,"[['location', 'office']]",( SQ ( VBP ) ( NP ( DT ) ( NN ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ( VP ( VBG ) ) ( . ) ),ParaQuality,5,Is there a problem with the office burglar alarms?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) ),Do the burglar alarms in the office have any issues?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ) ( VP ( NNS ) ( PP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),Are there any malfunctions with the security alarms in the office?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) ),0.9404059052467346,0.9526174664497375,0.928250789642334,False,True,False,True,False,True,9.0,6.0,8.0,True,True,True
Is the TV in the house off ?,CheckDevice,"[['device', 'TV']]",( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ) ) ( PRT ( RP ) ) ( . ) ),ParaQuality,6,Has the television in the residence been switched off?,( SQ ( VBZ ) ( NP ( NP ) ( PP ) ) ( VP ( VBN ) ( VP ) ) ( . ) ),Is the TV turned off inside the house?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( VP ( VBN ) ( PRT ) ( PP ) ) ( . ) ),Has anyone powered down the TV within this household?,( SQ ( VBZ ) ( NP ( NN ) ) ( VP ( VBN ) ( PRT ) ( NP ) ( PP ) ) ( . ) ),0.9452165365219116,0.9535009264945984,0.9083796143531799,False,True,False,True,False,True,7.0,6.0,7.0,True,True,True
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,FindHotel,"[['location', 'Seattle'], ['num_of_guests', '2']]",( NP ( NP ( DT ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,7,Can you recommend a budget-friendly hotel near Seattle for tomorrow? We need a room for two.,( S ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ) ( . ) ),"I'm looking for a cheap hotel close to Seattle. Do you have any suggestions? It's for tomorrow, and there will be two of us.","( S ( S ( NP ) ( VP ) ) ( . ) ( SQ ( VBP ) ( NP ) ( VP ) ) ( . ) ( S ( NP ) ( VP ) ) ( , ) ( CC ) ( S ( NP ) ( VP ) ) ( . ) )","Could you suggest an affordable place to stay in the vicinity of Seattle? We'll need it tomorrow, and it should accommodate two people.",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( SBAR ) ) ( . ) ),0.9153339862823486,0.8888011574745178,0.8848565220832825,False,True,False,True,False,True,11.0,16.0,8.0,True,True,True
Are there any cheap hotels for 7-day stay somewhere near Riverside,FindHotel,"[['location', 'Riverside'], ['stay_length', '7-day']]",( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( ADVP ( RB ) ( IN ) ( NP ) ) ),ParaQuality,8,Can you find me any affordable lodging options for a week near the Riverside area?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),I'm looking for budget-friendly accommodations that are close to Riverside and available for a 7-day stay. Can you help me?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),Are there any reasonably priced hotels in the vicinity of Riverside where I can stay for a week?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) ),0.9281163215637207,0.8993642926216125,0.9364254474639893,False,True,False,True,False,True,9.0,12.0,5.0,True,True,True
Send an email to Phil telling her that ''I got you'',SendMail,"[['contact', 'Phil'], ['message', 'I got you']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ( '' ) ( '' ) ),ParaQuality,9,Compose an email to Phil with the message 'I'll support you',( S ( S ( VP ) ) ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( '' ) ),Notify Phil via email saying 'You're not alone',( S ( VP ( VB ) ( NP ) ( PP ) ) ( '' ) ),Write and send a message to Phil expressing 'I'm here for you',( S ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ) ( '' ) ),0.9162184000015259,0.8878312706947327,0.8974112272262573,False,True,False,True,False,True,6.0,1.0,3.0,True,True,True
Give me 5 conference articles about text mining,FindArticles,"[['query', 'text mining'], ['count', '5'], ['article_type', 'conference articles']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ),ParaQuality,10,Find 5 scholarly papers discussing the analysis of text data at conferences.,( S ( VP ( VB ) ( NP ) ) ( . ) ),Locate 5 conference publications that focus on text mining.,( S ( VP ( VB ) ( NP ) ) ( . ) ),Retrieve a list of 5 scientific articles related to the topic of text mining presented at conferences.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.9048641920089722,0.9225283861160278,0.9002259969711304,False,True,False,True,False,True,2.0,2.0,2.0,True,True,True
I am looking for the latest scientific article related to Machine Learning,FindArticles,[],( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ),ParaQuality,11,Can you find me the most recent scientific paper that is about Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),I need to locate the most up-to-date article related to Machine Learning in the field of science.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) ),Do you have any information on the latest scientific publication regarding Machine Learning?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.8639956116676331,0.8925663828849792,0.8642444014549255,False,True,False,True,False,True,6.0,2.0,5.0,True,True,True
Create a comment saying ''Best Voice Ever'',CreateComment,"[['value', 'Best Voice Ever']]",( S ( VP ( VB ) ( NP ) ) ( '' ) ),ParaQuality,12,Compose a comment expressing how great the voice is,( S ( VP ( VB ) ( NP ) ) ),Generate a statement stating that it's the best voice you've ever heard,( S ( VP ( VB ) ( NP ) ) ),Write down your thoughts on how amazing the voice sounds,( S ( VP ( VB ) ( PRT ) ( NP ) ) ),0.8894350528717041,0.8774914741516113,0.8595612049102783,False,True,False,True,False,True,1.0,1.0,2.0,True,True,True
Jump to the previous song,NavigatePlaylist,[],( S ( VP ( VB ) ( PP ) ) ),ParaQuality,13,Skip to the previous track,( S ( VP ( VB ) ( PP ) ) ),Move back to the previous song,( S ( VP ( VB ) ( ADVP ) ) ),Jump back to the last played music,( S ( VP ( VB ) ( ADVP ) ) ),0.977931797504425,0.9518394470214844,0.913244366645813,False,True,False,True,False,True,0.0,1.0,1.0,True,True,True
Skip to the next song,NavigatePlaylist,[],( S ( VP ( VB ) ( PP ) ) ),ParaQuality,14,Move on to the following track,( S ( VP ( VB ) ( PRT ) ( PP ) ) ),Proceed to the next song,( S ( VP ( VB ) ( PP ) ) ),Advance to the subsequent music,( NP ( NP ( NN ) ) ( PP ( IN ) ( NP ) ) ),0.9175123572349548,0.9954378008842468,0.8989395499229431,False,True,True,True,False,True,1.0,0.0,5.0,True,False,True
Where can I upgrade my laptop ?,FindStores,"[['query', 'laptop']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),ParaQuality,15,Which places offer laptop upgrades?,( SBARQ ( WHNP ( WDT ) ( NNS ) ) ( SQ ( VP ) ) ( . ) ),I need to know where I can upgrade my laptop.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) ),Can you find stores that provide laptop upgrades?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.8926973342895508,0.9200752973556519,0.8919752240180969,False,True,False,True,False,True,5.0,7.0,7.0,True,True,True
Could you offer three barbershops in Newtown,FindStores,"[['location', 'Newtown']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ),ParaQuality,16,Can you suggest three hair salons in Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),"I'm looking for three hair salons in Newtown, can you help?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",Do you have any recommendations for three hair salons in Newtown?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.9186431169509888,0.895402193069458,0.8907753229141235,False,True,False,True,False,True,1.0,6.0,2.0,True,True,True
Let me have top three convenience stores near Newtown,FindStores,"[['location', 'Newtown'], ['business', 'convenience stores']]",( S ( VP ( VB ) ( S ) ) ),ParaQuality,17,Can you show me the top three convenience stores close to Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),I'm looking for the best three convenience stores near Newtown. Can you help me find them?,( S ( NP ( PRP ) ) ( VP ( VP ) ( . ) ( SQ ) ) ( . ) ),Could you give me information about the top three convenience stores in the vicinity of Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.9103123545646667,0.8948519229888916,0.8994263410568237,False,True,False,True,False,True,7.0,6.0,7.0,True,True,True
I want reviews for McDonald's at Kensington st.,GetReviews,"[['location', 'Kensington st.'], ['business', ""McDonald's""]]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( PP ) ) ( . ) ),ParaQuality,18,Can you show me the ratings for McDonald's located on Kensington Street?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),I am interested in finding reviews for the McDonald's restaurant on Kensington Street.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ) ( . ) ),Could you provide me with feedback on the McDonald's branch situated at Kensington Street?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.91153484582901,0.937404215335846,0.9083749651908875,False,True,False,True,False,True,4.0,2.0,3.0,True,True,True
How far is the closest cab,FindTaxi,[],( SBARQ ( WHADVP ( WRB ) ( RB ) ) ( VP ( VBZ ) ( NP ) ) ),ParaQuality,19,What is the distance to the nearest taxi?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) ),Can you tell me how far the closest cab is?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),I would like to know the proximity of the nearest taxi.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.9127885103225708,0.9105269312858582,0.8866162896156311,False,True,False,True,False,True,7.0,8.0,7.0,True,True,True
Request a taxi from the airport to home,BookTaxi,"[['from', 'airport'], ['to', 'home']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),ParaQuality,20,I need a taxi to take me home from the airport.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( S ) ) ( . ) ),Can you arrange for a taxi to pick me up from the airport and drop me off at my house?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( SBAR ) ) ( . ) ),Find a cab service that can transfer me from the airport back to my residence.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.9244332909584045,0.8912835121154785,0.9248412847518921,False,True,False,True,False,True,5.0,7.0,2.0,True,True,True
What is the forecast for Harrison-Crawford State Forest,GetWeather,"[['geographic_poi', 'Harrison-Crawford State Forest']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),SNIPS,21,Can you give me the weather forecast for Harrison-Crawford State Forest?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),I would like to know the predicted weather for Harrison-Crawford State Forest.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),What does the forecast say about Harrison-Crawford State Forest?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) ),0.937091588973999,0.9398873448371887,0.9636836647987366,False,True,False,True,False,True,8.0,6.0,4.0,True,True,True
what is the forecast for colder in Anston,GetWeather,"[['condition_temperature', 'colder'], ['city', 'Anston']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),SNIPS,22,"Can you tell me the weather forecast for Anston, but colder?","( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( CC ) ( ADJP ) ) ( . ) )",I'd like to know if there's a forecast for colder weather in Anston.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Is there any prediction of colder temperatures in Anston?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) ),0.8955222964286804,0.9066630601882935,0.9019046425819397,False,True,False,True,False,True,9.0,6.0,8.0,True,True,True
How hot is it in Pesotum,GetWeather,"[['condition_temperature', 'hot'], ['city', 'Pesotum']]",( SBARQ ( WHADJP ( WRB ) ( JJ ) ) ( VP ( VBZ ) ( NP ) ( PP ) ) ),SNIPS,23,What is the temperature in Pesotum?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( PP ) ) ( . ) ),Tell me the current weather conditions in Pesotum.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),Give me an update on the temperature in Pesotum.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.9420860409736633,0.9134756326675415,0.9134582877159119,False,True,False,True,False,True,5.0,7.0,7.0,True,True,True
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",BookRestaurant,"[['restaurant_type', 'pub'], ['served_dish', 'italian dressing'], ['party_size_number', '5'], ['timeRange', 'February 11, 2033']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,24,"Can you recommend a pub with Italian dressing that can accommodate 5 people on February 11, 2033 for a party?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),"I need your help in finding a pub where I can have Italian dressing during the party for 5 individuals on February 11, 2033.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( PP ) ) ( . ) ),"Could you please assist me in locating a pub that serves Italian dressing and can accommodate a group of five people for an event on February eleventh, twenty thirty-three?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),0.9181012511253357,0.9271670579910278,0.8820816278457642,False,True,False,True,False,True,5.0,4.0,4.0,True,True,True
Book a taverna in Equatorial Guinea this month for nine people.,BookRestaurant,"[['restaurant_type', 'taverna'], ['country', 'Equatorial Guinea'], ['timeRange', 'this month'], ['party_size_number', 'nine']]",( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),SNIPS,25,Reserve a restaurant in Equatorial Guinea this month for a party of nine.,( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),Find and book a dining establishment in Equatorial Guinea for nine guests during this month.,( S ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ( PP ) ) ( . ) ),Make a reservation at a tavern in Equatorial Guinea for the group of nine people by the end of this month.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.953325092792511,0.9001474976539612,0.9176445007324219,False,True,False,True,False,True,0.0,3.0,1.0,True,True,True
Book a table for eight people please,BookRestaurant,"[['party_size_number', 'eight']]",( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),SNIPS,26,Please reserve a table for a party of eight.,( S ( NP ( UH ) ) ( VP ( VB ) ( NP ) ) ( . ) ),"I would like to make a reservation for eight people, please.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Can you help me secure seating for a group of eight individuals?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),0.9164363741874695,0.896722137928009,0.8770104646682739,False,True,False,True,False,True,4.0,6.0,6.0,True,True,True
Please add Ruud Jolie to my playlist Guest List Polygon,AddToPlaylist,"[['artist', 'Ruud Jolie'], ['playlist_owner', 'my'], ['playlist', 'Guest List Polygon']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,27,Can you include Ruud Jolie in my playlist called Guest List Polygon?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),"Add Ruud Jolie to the Guest List Polygon playlist, please.","( S ( VP ( VB ) ( NP ) ( PP ) ( , ) ( ADVP ) ) ( . ) )","I'd like to have Ruud Jolie on my Guest List Polygon playlist, can you add him?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ( . ) ) )",0.9102504849433899,0.9280901551246643,0.9097750186920166,False,True,False,True,False,True,5.0,5.0,6.0,True,True,True
