input_utterance,utterance_template,intent,seed_id,source,paraphrase_value,paraphrase_template,bertscore,ted,selected_templates_related_paraphrases,ted_to_selected_templates,_is_similar
Is the TV in the house off ?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ) ) ( PRT ( RP ) ) ( . ) ),CheckDevice,6,ParaQuality,Is the TV turned off inside the house?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( VP ( VBN ) ( PRT ) ( PP ) ) ( . ) ),0.9535009,6.0,"['Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 9.0, '( S ( VP ( VB ) ( PP ) ) )': 8.0}",False
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,( NP ( NP ( DT ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ),FindHotel,7,ParaQuality,"I'm looking for a cheap hotel close to Seattle. Do you have any suggestions? It's for tomorrow, and there will be two of us.","( S ( S ( NP ) ( VP ) ) ( . ) ( SQ ( VBP ) ( NP ) ( VP ) ) ( . ) ( S ( NP ) ( VP ) ) ( , ) ( CC ) ( S ( NP ) ( VP ) ) ( . ) )",0.88880116,16.0,"['display the airlines that operate flights between Boston and Denver', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 14.0, '( S ( VP ( VB ) ( PP ) ) )': 15.0}",False
Are there any cheap hotels for 7-day stay somewhere near Riverside,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( ADVP ( RB ) ( IN ) ( NP ) ) ),FindHotel,8,ParaQuality,I'm looking for budget-friendly accommodations that are close to Riverside and available for a 7-day stay. Can you help me?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),0.8993643,12.0,"['Retrieve several attractive photos showcasing the Opera House, all measuring 1024 pixels in width and 768 pixels in height', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 10.0, '( S ( VP ( VB ) ( PP ) ) )': 10.0}",False
Send an email to Phil telling her that ''I got you'',( S ( VP ( VB ) ( NP ) ( PP ) ) ( '' ) ( '' ) ),SendMail,9,ParaQuality,Notify Phil via email saying 'You're not alone',( S ( VP ( VB ) ( NP ) ( PP ) ) ( '' ) ),0.8878313,1.0,"['find the cheapest price from Denver to Pittsburgh', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 2.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
Give me 5 conference articles about text mining,( S ( VP ( VB ) ( NP ) ( NP ) ) ),FindArticles,10,ParaQuality,Locate 5 conference publications that focus on text mining.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.9225284,2.0,"['Retrieve cooking tutorials', 'Skip to the previous music track']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
I am looking for the latest scientific article related to Machine Learning,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ),FindArticles,11,ParaQuality,I need to locate the most up-to-date article related to Machine Learning in the field of science.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) ),0.8925664,2.0,"['Book a cab for me to get from the airport back home', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
Create a comment saying ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ),CreateComment,12,ParaQuality,Generate a statement stating that it's the best voice you've ever heard,( S ( VP ( VB ) ( NP ) ) ),0.8774915,1.0,"['discover Fox Theatres presenting The Caretaker', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
Jump to the previous song,( S ( VP ( VB ) ( PP ) ) ),NavigatePlaylist,13,ParaQuality,Move back to the previous song,( S ( VP ( VB ) ( ADVP ) ) ),0.95183945,1.0,"['find the cheapest price from Denver to Pittsburgh', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
Where can I upgrade my laptop ?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),FindStores,15,ParaQuality,I need to know where I can upgrade my laptop.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) ),0.9200753,7.0,"['Book a cab for me to get from the airport back home', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
Could you offer three barbershops in Newtown,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ),FindStores,16,ParaQuality,"I'm looking for three hair salons in Newtown, can you help?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",0.8954022,6.0,"['Book a cab for me to get from the airport back home', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
Let me have top three convenience stores near Newtown,( S ( VP ( VB ) ( S ) ) ),FindStores,17,ParaQuality,I'm looking for the best three convenience stores near Newtown. Can you help me find them?,( S ( NP ( PRP ) ) ( VP ( VP ) ( . ) ( SQ ) ) ( . ) ),0.8948519,6.0,"['find the cheapest price from Denver to Pittsburgh', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
I want reviews for McDonald's at Kensington st.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( PP ) ) ( . ) ),GetReviews,18,ParaQuality,I am interested in finding reviews for the McDonald's restaurant on Kensington Street.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ) ( . ) ),0.9374042,2.0,"['discover Fox Theatres presenting The Caretaker', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
How far is the closest cab,( SBARQ ( WHADVP ( WRB ) ( RB ) ) ( VP ( VBZ ) ( NP ) ) ),FindTaxi,19,ParaQuality,Can you tell me how far the closest cab is?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),0.91052693,8.0,"['Retrieve several attractive photos showcasing the Opera House, all measuring 1024 pixels in width and 768 pixels in height', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
Request a taxi from the airport to home,( S ( VP ( VB ) ( NP ) ( PP ) ) ),BookTaxi,20,ParaQuality,Can you arrange for a taxi to pick me up from the airport and drop me off at my house?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( SBAR ) ) ( . ) ),0.8912835,7.0,"['locate Fox Theatres featuring The Caretaker', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
What is the forecast for Harrison-Crawford State Forest,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),GetWeather,21,SNIPS,I would like to know the predicted weather for Harrison-Crawford State Forest.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.93988734,6.0,"['Retrieve cooking tutorials', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
what is the forecast for colder in Anston,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),GetWeather,22,SNIPS,I'd like to know if there's a forecast for colder weather in Anston.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.90666306,6.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
How hot is it in Pesotum,( SBARQ ( WHADJP ( WRB ) ( JJ ) ) ( VP ( VBZ ) ( NP ) ( PP ) ) ),GetWeather,23,SNIPS,Tell me the current weather conditions in Pesotum.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.91347563,7.0,"['discover Fox Theatres presenting The Caretaker', 'Skip to the previous music track']","{'( S ( VP ( VB ) ( NP ) ) )': 2.0, '( S ( VP ( VB ) ( PP ) ) )': 3.0}",True
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),BookRestaurant,24,SNIPS,"I need your help in finding a pub where I can have Italian dressing during the party for 5 individuals on February 11, 2033.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( PP ) ) ( . ) ),0.92716706,4.0,"['Find videos on how to cook', 'Skip to the previous music track']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
Book a taverna in Equatorial Guinea this month for nine people.,( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),BookRestaurant,25,SNIPS,Find and book a dining establishment in Equatorial Guinea for nine guests during this month.,( S ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ( PP ) ) ( . ) ),0.9001475,3.0,"['Discover the top-rated images labeled with #LOVE', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
Book a table for eight people please,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),BookRestaurant,26,SNIPS,"I would like to make a reservation for eight people, please.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.89672214,6.0,"['Retrieve several attractive photos showcasing the Opera House, all measuring 1024 pixels in width and 768 pixels in height', 'Skip to the previous music track']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
Please add Ruud Jolie to my playlist Guest List Polygon,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),AddToPlaylist,27,SNIPS,"Add Ruud Jolie to the Guest List Polygon playlist, please.","( S ( VP ( VB ) ( NP ) ( PP ) ( , ) ( ADVP ) ) ( . ) )",0.92809016,5.0,"['find the cheapest price from Denver to Pittsburgh', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 4.0, '( S ( VP ( VB ) ( PP ) ) )': 4.0}",False
add this artist named Kirk Hammett to my playlist Party,( S ( VP ( VB ) ( NP ) ( PP ) ) ),AddToPlaylist,28,SNIPS,Add the artist Kirk Hammett to my Party playlist,( S ( VP ( VB ) ( NP ) ( PP ) ) ),0.9497593,0.0,"['Retrieve several attractive photos showcasing the Opera House, all measuring 1024 pixels in width and 768 pixels in height', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
I want to put a copy of this tune into Skatepark Punks,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),AddToPlaylist,29,SNIPS,Can you help me insert a duplicate of this song into Skatepark Punks?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),0.93152696,4.0,"['Retrieve cooking tutorials', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),RateBook,30,SNIPS,"A Story of the American Civil War, called With Lee in Virginia, takes place in chronicle 4 out of a series of 6.","( S ( NP ( NP ) ( , ) ( VP ) ( , ) ) ( VP ( VBZ ) ( NP ) ( PP ) ( PP ) ) ( . ) )",0.8864437,9.0,"['Retrieve cooking tutorials', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 9.0, '( S ( VP ( VB ) ( PP ) ) )': 9.0}",False
Rate this album two out of 6,( S ( VP ( VB ) ( NP ) ( NP ) ) ),RateBook,31,SNIPS,Rate this musical record with a score of two out of six,( S ( VP ( VB ) ( NP ) ( PP ) ) ),0.9179466,1.0,"['Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
Give the current part of the saga 4 points out of 6.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),RateBook,32,SNIPS,Assign a score of 4 out of 6 to the ongoing part of the saga.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.9250949,1.0,"['Discover the top-rated images labeled with #LOVE', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 2.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
Can you play some fifties music by lavern baker,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),PlayMusic,33,SNIPS,"I would like to listen to songs from the 1950s by Lavern Baker, can you help?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",0.87530607,6.0,"['Find videos on how to cook', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
Play a 1964 track from Shahram Nazeri on Pandora.,( S ( VP ( VB ) ( NP ) ) ( . ) ),PlayMusic,34,SNIPS,I would like to listen to a track by Shahram Nazeri that came out in 1964 on the Pandora platform.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.9210983,4.0,"['find the cheapest price from Denver to Pittsburgh', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
Please play me some Satire music,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),PlayMusic,35,SNIPS,"I'd like to listen to some satirical songs, please.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.89184725,6.0,"['Find videos on how to cook', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
When is Crime and Punishment U.S.A. showing?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) ),SearchScreeningEvent,36,SNIPS,When can I catch a screening of Crime and Punishment U.S.A.?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),0.9049357,1.0,"['Discover the top-rated images labeled with #LOVE', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 8.0}",False
find Fox Theatres with The Caretaker,( S ( VP ( VB ) ( NP ) ( PP ) ) ),SearchScreeningEvent,37,SNIPS,Find cinemas where The Caretaker is playing at Fox Theatres.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.9010744,2.0,"['Locate the trending pictures tagged as #LOVE', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
I would like to watch The Wedding Ring at the movie theatre,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SearchScreeningEvent,38,SNIPS,"I'm interested in seeing The Wedding Ring at the movies, can you help me find a theater that is showing it?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",0.9145397,4.0,"['display the airlines that operate flights between Boston and Denver', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
I want to read the book The Lion Sleeps Tonight,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SearchCreativeWork,39,SNIPS,Could you please find me the book called The Lion Sleeps Tonight?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),0.9114337,5.0,"['display the airlines that operate flights between Boston and Denver', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
Where can I buy a used copy of the game called I Lie Around?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),SearchCreativeWork,41,SNIPS,Can you help me find a place to buy a pre-owned copy of the video game called I Lie Around?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( VP ) ) ( . ) ),0.9365514,6.0,"['Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
please give me the cheapest flight from denver to pittsburgh,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),flight,42,ATIS,I'm looking for the least expensive flight option from Denver to Pittsburgh.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),0.91768306,6.0,"['Book a cab for me to get from the airport back home', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),flight,43,ATIS,"I would like to travel from Milwaukee to Orlando, and I have the option of flying on either Wednesday evening or Thursday morning.","( S ( S ( NP ) ( VP ) ) ( , ) ( CC ) ( S ( NP ) ( VP ) ) ( . ) )",0.9319164,7.0,"['Book a cab for me to get from the airport back home', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 8.0}",False
what is the lowest fare from denver to pittsburgh,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) ),airfare,44,ATIS,What is the cheapest fare for a flight from Denver to Pittsburgh?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBZ ) ( NP ) ) ( . ) ),0.92331165,4.0,"['locate Fox Theatres featuring The Caretaker', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
what is the cheapest one way fare from boston to baltimore,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),airfare,45,ATIS,What is the least expensive fare for a one-way trip from Boston to Baltimore?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBZ ) ( NP ) ) ( . ) ),0.9346671,3.0,"['Discover the top-rated images labeled with #LOVE', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
what is the ground transportation from oakland to san francisco,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),ground_service,46,ATIS,What are the transportation options between Oakland and San Francisco?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBP ) ( NP ) ) ( . ) ),0.90467983,4.0,"['Retrieve cooking tutorials', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
can i get a rental car in dallas,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),ground_service,47,ATIS,Could you help me find a car for rent in Dallas?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),0.90976053,3.0,"['discover Fox Theatres presenting The Caretaker', 'Skip to the previous music track']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
what airlines fly between boston and atlanta,( SBAR ( WHNP ( WP ) ) ( S ( NP ) ( VP ) ) ),airline,48,ATIS,Can you tell me the airlines that fly from Boston to Atlanta?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.8808749,8.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
show me the airlines between boston and denver,( S ( VP ( VB ) ( S ) ) ),airline,49,ATIS,find the airlines that fly between Boston and Denver,( S ( VP ( VB ) ( NP ) ) ),0.9059193,1.0,"['discover Fox Theatres presenting The Caretaker', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
what does ls stand for,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),abbreviation,50,ATIS,Can you tell me what ls stands for?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),0.902967,8.0,"['locate Fox Theatres featuring The Caretaker', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
what does dfw mean,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),abbreviation,51,ATIS,I would like to know the definition of dfw.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.89493096,7.0,"['Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px', 'Skip to the previous music track']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
Terminate i-a541 now,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),EndEC2Instance,1,ParaQuality,Cease i-a541 at once,( S ( VP ( VB ) ( NP ) ( PP ) ) ),0.92602354,1.0,"['Locate the trending pictures tagged as #LOVE', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
Search for cooking videos,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),SearchWeb,2,ParaQuality,Discover tutorials for cooking,( S ( VP ( VB ) ( NP ) ) ),0.9277092,4.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
Find most popular photos tagged #LOVE,( S ( S ( VP ) ) ( VP ( VBP ) ) ),SearchWeb,3,ParaQuality,Discover the top-rated photos tagged with #LOVE,( S ( VP ( VB ) ( NP ) ) ),0.95303047,3.0,"['discover Fox Theatres presenting The Caretaker', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
Search for a few nice photos matching Opera House with size 1024px * 768px,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),SearchWeb,4,ParaQuality,Discover several appealing photos that align with the Opera House and have a resolution of 1024 x 768 pixels.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.9141292,5.0,"['display the airlines that operate flights between Boston and Denver', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
Are the burglar alarms in the office malfunctioning ?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ( VP ( VBG ) ) ( . ) ),CheckDevice,5,ParaQuality,Are there any malfunctions with the security alarms in the office?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) ),0.9282508,8.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
Is the TV in the house off ?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ) ) ( PRT ( RP ) ) ( . ) ),CheckDevice,6,ParaQuality,Has anyone powered down the TV within this household?,( SQ ( VBZ ) ( NP ( NN ) ) ( VP ( VBN ) ( PRT ) ( NP ) ( PP ) ) ( . ) ),0.9083796,7.0,"['Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 8.0, '( S ( VP ( VB ) ( PP ) ) )': 8.0}",False
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,( NP ( NP ( DT ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ),FindHotel,7,ParaQuality,"Could you suggest an affordable place to stay in the vicinity of Seattle? We'll need it tomorrow, and it should accommodate two people.",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( SBAR ) ) ( . ) ),0.8848565,8.0,"['display the airlines that operate flights between Boston and Denver', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
Are there any cheap hotels for 7-day stay somewhere near Riverside,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( ADVP ( RB ) ( IN ) ( NP ) ) ),FindHotel,8,ParaQuality,Are there any reasonably priced hotels in the vicinity of Riverside where I can stay for a week?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) ),0.93642545,5.0,"['Retrieve several attractive photos showcasing the Opera House, all measuring 1024 pixels in width and 768 pixels in height', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 8.0}",False
Send an email to Phil telling her that ''I got you'',( S ( VP ( VB ) ( NP ) ( PP ) ) ( '' ) ( '' ) ),SendMail,9,ParaQuality,Write and send a message to Phil expressing 'I'm here for you',( S ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ) ( '' ) ),0.8974112,3.0,"['find the cheapest price from Denver to Pittsburgh', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 4.0, '( S ( VP ( VB ) ( PP ) ) )': 4.0}",False
