input_utterance,paraphrase_value,paraphrase_template
Are there any cheap hotels for 7-day stay somewhere near Riverside,Can you find me affordable accommodations for a week-long stay in the vicinity of Riverside?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',Please send an email to Phil and inform her that I said 'I got you'.,( S ( WHNP ( UH ) ) ( VP ( VP ) ( CC ) ( VP ) ) ( '' ) ( . ) )
Give me 5 conference articles about text mining,Can you provide me with 5 conference articles related to text mining?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
I am looking for the latest scientific article related to Machine Learning,Can you find me the most recent scientific paper about Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Create a comment saying ''Best Voice Ever'',Make a comment that says 'Best Voice I've ever heard',( S ( VP ( VB ) ( NP ) ) ( '' ) )
Jump to the previous song,Go back to the last song,( S ( VP ( VB ) ( ADVP ) ) )
Skip to the next song,Go to the next track,( S ( VP ( VB ) ( PP ) ) )
Where can I upgrade my laptop ?,Can you help me find a place to upgrade my laptop?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
Could you offer three barbershops in Newtown,Can you suggest three barber shops in Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Let me have top three convenience stores near Newtown,Can you show me the best three convenience stores around Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
I want reviews for McDonald's at Kensington st.,Can you show me the ratings for McDonald's on Kensington street?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
How far is the closest cab,What is the distance to the nearest taxi?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) )
Request a taxi from the airport to home,Order a cab from the airport to my place,( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ) )
What is the forecast for Harrison-Crawford State Forest,Tell me the weather forecast for Harrison-Crawford State Forest,( S ( VP ( VB ) ( NP ) ( NP ) ) )
what is the forecast for colder in Anston,what is the weather prediction for Anston being colder?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) )
How hot is it in Pesotum,What is the temperature in Pesotum?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( PP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","Can you find a pub that serves Italian dressing for a group of 5 people on February 11, 2033?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Book a table for eight people please,Please reserve a table for a group of eight,( S ( NP ( UH ) ) ( VP ( VB ) ( NP ) ) )
Please add Ruud Jolie to my playlist Guest List Polygon,Add Ruud Jolie to my playlist called Guest List Polygon,( S ( VP ( VB ) ( NP ) ( PP ) ) )
add this artist named Kirk Hammett to my playlist Party,include this musician called Kirk Hammett in my Party playlist,( S ( VP ( VB ) ( NP ) ) )
I want to put a copy of this tune into Skatepark Punks,Can you add this song to Skatepark Punks?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","The book I would rate is the fourth installment, With Lee in Virginia: A Story of the American Civil War.",( S ( NP ( NP ) ( SBAR ) ) ( VP ( VBZ ) ( NP ) ) ( . ) )
Rate this album two out of 6,Give this album a rating of two out of six,( S ( VP ( VB ) ( NP ) ( NP ) ) )
Give the current part of the saga 4 points out of 6.,Rate this part of the saga with a score of 4 out of 6.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Can you play some fifties music by lavern baker,Could you please play some fifties music performed by Lavern Baker?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,Play a Shahram Nazeri track from 1964 on Pandora.,( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ) ( . ) )
Please play me some Satire music,Can you find and play some Satire music for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ) ( . ) )
When is Crime and Punishment U.S.A. showing?,What are the showtimes for Crime and Punishment U.S.A.?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBP ) ( NP ) ) ( . ) )
find Fox Theatres with The Caretaker,search for The Caretaker at Fox Theatres,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ( PP ( IN ) ( NP ) ) )
I would like to watch The Wedding Ring at the movie theatre,Can you find showtimes for The Wedding Ring at the cinema?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,I would like to read the book called The Lion Sleeps Tonight.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
Where can I buy a used copy of the game called I Lie Around?,Can you tell me where I can find a second-hand copy of the game called I Lie Around?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,Can you find the least expensive flight from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,"I need to book a flight from Milwaukee to Orlando, either on Wednesday in the evening or Thursday in the morning.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) )
what is the lowest fare from denver to pittsburgh,what is the cheapest price for a flight from denver to pittsburgh,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) )
what is the cheapest one way fare from boston to baltimore,What is the most inexpensive single ticket price from Boston to Baltimore?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VP ) ) ( . ) )
what is the ground transportation from oakland to san francisco,How can I get from Oakland to San Francisco by ground transportation?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
can i get a rental car in dallas,Is it possible for me to rent a car in Dallas?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) )
show me the airlines between boston and denver,display the flights operating between Boston and Denver,( S ( VP ( VB ) ( NP ) ) )
what does ls stand for,what is the meaning of ls,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) )
what does dfw mean,what is the meaning of dfw,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) )
Terminate i-a541 now,End i-a541 immediately,( NP ( NP ( NN ) ( NN ) ) ( ADVP ( RB ) ) )
Search for cooking videos,Find videos on cooking,( S ( VP ( VB ) ( NP ) ) )
Find most popular photos tagged #LOVE,Search for the trending images with #LOVE tag,( S ( VP ( VB ) ( PP ) ) )
Search for a few nice photos matching Opera House with size 1024px * 768px,Find some beautiful pictures of the Opera House with a resolution of 1024px * 768px.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Are the burglar alarms in the office malfunctioning ?,Are the alarms in the office not working properly?,( SQ ( VBP ) ( NP ( NP ) ( PP ) ) ( RB ) ( VP ( VBG ) ( ADVP ) ) ( . ) )
Is the TV in the house off ?,Has the TV in the house been turned off?,( SQ ( VBZ ) ( NP ( NP ) ( PP ) ) ( VP ( VBN ) ( VP ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,"Do you have any recommendations for a budget-friendly hotel in Seattle for tomorrow night, accommodating 2 people?",( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Are there any cheap hotels for 7-day stay somewhere near Riverside,I'm looking for affordable accommodations near Riverside for a week-long stay.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',Compose an email to Phil and inform her that ''I have your back''.,( S ( VP ( VP ) ( CC ) ( VP ) ) ( '' ) ( . ) )
Give me 5 conference articles about text mining,Find 5 conference papers on the topic of text mining,( S ( VP ( VB ) ( NP ) ( PP ) ) )
I am looking for the latest scientific article related to Machine Learning,Can you find me the most recent scientific publication about Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Create a comment saying ''Best Voice Ever'',Compose a comment saying ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) )
Jump to the previous song,Skip to the previous track,( S ( VP ( VB ) ( PP ) ) )
Skip to the next song,Go to the next track,( S ( VP ( VB ) ( PP ) ) )
Where can I upgrade my laptop ?,Can you tell me where I can upgrade my laptop?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) )
Could you offer three barbershops in Newtown,Please provide me with a list of three barbershops in Newtown.,( S ( WHNP ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Let me have top three convenience stores near Newtown,Can you find the best three convenience stores near Newtown for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
I want reviews for McDonald's at Kensington st.,Can you provide me with reviews for the McDonald's located at Kensington street?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
How far is the closest cab,What is the distance to the nearest taxi?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) )
Request a taxi from the airport to home,Order a taxi from the airport to my house,( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ) )
What is the forecast for Harrison-Crawford State Forest,Can you tell me the weather forecast for Harrison-Crawford State Forest?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
what is the forecast for colder in Anston,what is the weather like in Anston for colder temperatures,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) )
How hot is it in Pesotum,What is the temperature in Pesotum?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( PP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","Can you suggest a pub with Italian dressing available for a party of 5 on February 11, 2033?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Book a table for eight people please,"Can you make a reservation for a party of eight, please?","( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ( , ) ( INTJ ) ) ( . ) )"
Please add Ruud Jolie to my playlist Guest List Polygon,Can you include Ruud Jolie in my Guest List Polygon playlist?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
add this artist named Kirk Hammett to my playlist Party,include the artist Kirk Hammett in my Party playlist,( S ( VP ( VB ) ( NP ) ) )
I want to put a copy of this tune into Skatepark Punks,I would like to add this melody to Skatepark Punks.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","I would rate With Lee in Virginia, A Story of the American Civil War book as 4 out of 6",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) )
Rate this album two out of 6,Give this album a rating of 2 out of 6,( S ( VP ( VB ) ( NP ) ( NP ) ) )
Give the current part of the saga 4 points out of 6.,Rate the current episode of the saga with 4 out of 6 points.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Can you play some fifties music by lavern baker,Can you please play some fifties music performed by lavern baker.,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,Can you please play a Shahram Nazeri track from 1964 on Pandora?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
Please play me some Satire music,Can you play some Satire music for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
When is Crime and Punishment U.S.A. showing?,What are the showtimes for Crime and Punishment U.S.A.?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBP ) ( NP ) ) ( . ) )
find Fox Theatres with The Caretaker,locate Fox Theatres that show The Caretaker,( S ( VP ( VB ) ( NP ) ) )
I would like to watch The Wedding Ring at the movie theatre,Can you show me where The Wedding Ring is playing in the cinema?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,I desire to peruse The Lion Sleeps Tonight book,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) )
Where can I buy a used copy of the game called I Lie Around?,Where can I find a secondhand version of the game named I Lie Around?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,I want to find the most affordable flight from Denver to Pittsburgh.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) )
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,Can you book a flight for me from Milwaukee to Orlando? I am flexible with the dates and can fly either on Wednesday evening or Thursday morning.,( S ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ( NP ( PRP ) ) ( VP ( VP ) ( CC ) ( VP ) ) ( . ) )
what is the lowest fare from denver to pittsburgh,what is the cheapest price for a flight from Denver to Pittsburgh,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) )
what is the cheapest one way fare from boston to baltimore,What is the lowest priced single trip ticket from Boston to Baltimore?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBZ ) ( NP ) ) ( . ) )
what is the ground transportation from oakland to san francisco,what are the transportation options from Oakland to San Francisco?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBP ) ( NP ) ) ( . ) )
can i get a rental car in dallas,is it possible to rent a car in dallas?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( S ( VP ) ) ( . ) )
show me the airlines between boston and denver,display the list of airlines operating between Boston and Denver,( S ( VP ( VB ) ( NP ) ) )
what does ls stand for,what is the full form of ls,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) )
what does dfw mean,What is the meaning of dfw?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) )
Terminate i-a541 now,Stop i-a541 at once,( S ( VP ( VB ) ( NP ) ( PP ) ) )
Find most popular photos tagged #LOVE,Locate the most liked images with the tag #LOVE,( S ( VP ( VB ) ( S ) ) )
Search for a few nice photos matching Opera House with size 1024px * 768px,Look for a couple of stunning images that correspond to Opera House and have a resolution of 1024px by 768px.,( S ( VP ( VB ) ( PP ) ) ( . ) )
Are the burglar alarms in the office malfunctioning ?,Are there issues with the burglar alarms in the office?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) )
Is the TV in the house off ?,Is the television turned off within the residence?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( VP ( VBN ) ( PRT ) ( PP ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,I need some recommendations for a cheap hotel near Seattle that is available tomorrow and can accommodate two guests.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ) ( . ) )
Are there any cheap hotels for 7-day stay somewhere near Riverside,I'm looking for budget-friendly accommodations in the Riverside area that offer a 7-day stay. Any suggestions?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',Shoot an email to Phil to inform her that I'm here for you,( S ( VP ( VB ) ( NP ) ( PP ) ( S ) ) )
Give me 5 conference articles about text mining,Find 5 conference articles discussing the topic of text mining.,( S ( VP ( VB ) ( NP ) ) ( . ) )
I am looking for the latest scientific article related to Machine Learning,Can you help me locate the newest scientific article regarding Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
Create a comment saying ''Best Voice Ever'',Compose a statement praising the voice as the ''Best Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) )
Jump to the previous song,Move back to the last song,( S ( VP ( VB ) ( ADVP ) ) )
Skip to the next song,Proceed to play the next song,( S ( VP ( VB ) ( S ) ) )
Where can I upgrade my laptop ?,Can you recommend any locations for upgrading my laptop?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Could you offer three barbershops in Newtown,Please provide me with information on three barbershops in Newtown.,( S ( WHNP ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Let me have top three convenience stores near Newtown,I want to know which are the top three convenience stores near Newtown,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) )
I want reviews for McDonald's at Kensington st.,Please give me feedback on the McDonald's restaurant situated at Kensington St.,( S ( WHNP ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
How far is the closest cab,Can you tell me how close the nearest cab is?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) )
Request a taxi from the airport to home,Can you book a taxi for me from the airport back to my place?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ( ADVP ) ) ( . ) )
What is the forecast for Harrison-Crawford State Forest,Can you tell me the upcoming weather conditions at Harrison-Crawford State Forest,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) )
what is the forecast for colder in Anston,can you give me the forecast for cooler temperatures in Anston?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
How hot is it in Pesotum,Can you tell me the current temperature in Pesotum?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","I'm looking for a pub with Italian dressing where I can host a party of 5 on February 11, 2033.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,Reserve a table for nine at a tavern in Equatorial Guinea during this month.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Book a table for eight people please,"I would like to make a reservation for a table that can accommodate eight people, please.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
Please add Ruud Jolie to my playlist Guest List Polygon,Include Ruud Jolie in my Guest List Polygon playlist,( VP ( VB ) ( NP ( NP ) ( PP ) ) )
add this artist named Kirk Hammett to my playlist Party,Add the artist Kirk Hammett to my Party playlist,( S ( VP ( VB ) ( NP ) ( PP ) ) )
I want to put a copy of this tune into Skatepark Punks,Can you help me insert a version of this melody in Skatepark Punks?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","'With Lee in Virginia, A Story of the American Civil War' has six parts. Can you give me part number four?","( S ( `` ) ( PP ( IN ) ( NP ) ) ( , ) ( NP ( NP ) ( PP ) ) ( '' ) ( VP ( VBZ ) ( NP ) ) ( . ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )"
Rate this album two out of 6,"Rate this album on a scale of 1 to 6, and give it a rating of two","( S ( VP ( VP ) ( , ) ( CC ) ( VP ) ) )"
Give the current part of the saga 4 points out of 6.,Assign a score of 4 out of 6 to the current installment in the saga.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Can you play some fifties music by lavern baker,Can you play some tracks from the 1950s sung by Lavern Baker?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,Can you find and play a track by Shahram Nazeri from the year 1964 on Pandora?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ( PP ) ) ( . ) )
Please play me some Satire music,"I would like to hear some Satire songs, please.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
When is Crime and Punishment U.S.A. showing?,When can I watch Crime and Punishment U.S.A.?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
find Fox Theatres with The Caretaker,search for Fox Theatres playing The Caretaker,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) )
I would like to watch The Wedding Ring at the movie theatre,Is there any cinema where I can watch The Wedding Ring?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,Can you find The Lion Sleeps Tonight book for me to read?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Where can I buy a used copy of the game called I Lie Around?,Can you direct me to a place where I can find a pre-owned copy of the game called I Lie Around?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,"I'm looking for the most affordable plane ticket from Denver to Pittsburgh, can you help me with that?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )"
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,Can you assist me in finding a flight from Milwaukee to Orlando? I am flexible with either Wednesday evening or Thursday morning as my departure time.,( S ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ( PP ) ) ( . ) )
what is the lowest fare from denver to pittsburgh,what is the least expensive flight ticket from Denver to Pittsburgh,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) )
what is the cheapest one way fare from boston to baltimore,Tell me the most economical one-way fare from Boston to Baltimore.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
what is the ground transportation from oakland to san francisco,how can I travel from Oakland to San Francisco?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
can i get a rental car in dallas,Can I find a car rental service in Dallas?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
what airlines fly between boston and atlanta,I would like to know the airlines that provide service between Boston and Atlanta.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
show me the airlines between boston and denver,list down the airlines that fly between boston and denver,( S ( VP ( VB ) ( PRT ) ( NP ) ) )
what does ls stand for,can you explain what ls stands for,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( SBAR ) ) )
what does dfw mean,can you explain dfw to me,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) )
Terminate i-a541 now,Stop i-a541 now,( S ( VP ( VB ) ( NP ) ( ADVP ) ) )
Search for cooking videos,Look up videos on how to cook,( S ( VP ( VB ) ( PRT ) ( NP ) ) )
Find most popular photos tagged #LOVE,Locate the top-rated pictures that are labeled with #LOVE,( S ( VP ( VB ) ( NP ) ) )
Search for a few nice photos matching Opera House with size 1024px * 768px,Locate several lovely images that correspond to Opera House and have a size of 1024 pixels by 768 pixels,( S ( VP ( VB ) ( NP ) ) )
Are the burglar alarms in the office malfunctioning ?,Are there any issues with the burglar alarms in the office?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) )
Is the TV in the house off ?,Is the television inside the house switched off?,( SQ ( VBZ ) ( NP ( NP ) ( PP ) ) ( VP ( VBN ) ( PRT ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,"Could you suggest a cheap hotel in close proximity to Seattle for tomorrow night, accommodating 2 guests?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Are there any cheap hotels for 7-day stay somewhere near Riverside,I need to locate affordable accommodations near Riverside for a week-long stay. Can you assist?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',Please send an email to Phil informing her that ''I'm here for you'',( S ( WHNP ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( '' ) ( '' ) )
Give me 5 conference articles about text mining,Find 5 conference papers discussing text mining,( S ( VP ( VB ) ( NP ) ) )
I am looking for the latest scientific article related to Machine Learning,I need to find a recent scientific article that is about Machine Learning. Can you help?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
Jump to the previous song,Go back to the previous song,( S ( VP ( VB ) ( ADVP ) ) )
Skip to the next song,Skip to the following song,( S ( VP ( VB ) ( PP ) ) )
Where can I upgrade my laptop ?,What are the locations for upgrading my laptop?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBP ) ( NP ) ) ( . ) )
Could you offer three barbershops in Newtown,I'm looking for three barbershops in Newtown. Can you help?,( S ( NP ( PRP ) ) ( VP ( VP ) ( . ) ( SQ ) ) ( . ) )
Let me have top three convenience stores near Newtown,I would like to know the top three convenience stores in close proximity to Newtown.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
I want reviews for McDonald's at Kensington st.,I'm looking for feedback on the McDonald's located at Kensington Street.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
How far is the closest cab,How close is the nearest cab?,( SBARQ ( WHADVP ( WRB ) ( RB ) ) ( VP ( VBZ ) ( NP ) ) ( . ) )
Request a taxi from the airport to home,Get me a cab from the airport to my place of residence,( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) )
What is the forecast for Harrison-Crawford State Forest,Could you provide me with the weather outlook for Harrison-Crawford State Forest?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
what is the forecast for colder in Anston,what is the outlook for colder temperatures in Anston,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) )
How hot is it in Pesotum,What is the current weather in Pesotum?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","I'm looking for a pub that has Italian dressing. Do you know any? I need it for a party of 5 on February 11, 2033.",( S ( S ( NP ) ( VP ) ) ( . ) ( S ( NP ) ( VP ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,Reserve a table at a tavern in Equatorial Guinea this month for nine individuals.,( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) )
Book a table for eight people please,Can you help me make a reservation for eight people?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
Please add Ruud Jolie to my playlist Guest List Polygon,Include Ruud Jolie in my Guest List Polygon playlist,( VP ( VB ) ( NP ( NP ) ( PP ) ) )
add this artist named Kirk Hammett to my playlist Party,put this singer named Kirk Hammett into my Party playlist,( S ( VP ( VB ) ( NP ) ( S ) ) )
I want to put a copy of this tune into Skatepark Punks,I would like to place a duplicate of this track in Skatepark Punks.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","Can you provide a review for Chapter 4 out of the 6 from With Lee in Virginia, A Story of the American Civil War?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Rate this album two out of 6,How would you rate this album on a scale of 1 to 6?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
