input_utterance,intent,parameters,utterance_template,source,seed_id,p1,p1_template,p2,p2_template,p3,p3_template,p1_bertscore,p2_bertscore,p3_bertscore,p1_duplicate,p1_semantics,p1_correct,p2_duplicate,p2_semantics,p2_correct,p3_duplicate,p3_semantics,p3_correct,p1_ted,p2_ted,p3_ted
I am looking for the latest scientific article related to Machine Learning,FindArticles,[],( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ),ParaQuality,11,Please find me the most recent scientific paper on Machine Learning,( S ( WHNP ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),I need to find the newest scientific article about Machine Learning,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),Could you assist me in locating the latest scientific publication on Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.89068466,0.90735847,0.87419873,False,True,True,False,True,True,False,True,True,5.0,1.0,6.0
Create a comment saying ''Best Voice Ever'',CreateComment,"[['value', 'Best Voice Ever']]",( S ( VP ( VB ) ( NP ) ) ( '' ) ),ParaQuality,12,Make a comment that says ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) ),Compose a comment that states ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) ),Write a comment expressing ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) ),0.9801982,0.9461916,0.97320783,True,True,False,False,True,True,False,True,True,1.0,1.0,1.0
Jump to the previous song,NavigatePlaylist,[],( S ( VP ( VB ) ( PP ) ) ),ParaQuality,13,Skip to the previous music track,( S ( VP ( VB ) ( PP ) ) ),Go back to the previous song,( S ( VP ( VB ) ( ADVP ) ) ),Move to the last played song,( S ( VP ( VB ) ( PP ) ) ),0.97152835,0.95322114,0.94069374,False,True,True,False,True,True,False,True,True,0.0,1.0,0.0
Skip to the next song,NavigatePlaylist,[],( S ( VP ( VB ) ( PP ) ) ),ParaQuality,14,Move on to the next track,( S ( VP ( VB ) ( PRT ) ( PP ) ) ),Skip to the following song,( S ( VP ( VB ) ( PP ) ) ),Proceed to the next tune,( S ( VP ( VB ) ( PP ) ) ),0.93580174,0.929011,0.9744369,False,True,True,False,True,True,False,True,True,1.0,0.0,0.0
Where can I upgrade my laptop ?,FindStores,"[['query', 'laptop']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),ParaQuality,15,Can you tell me where I can upgrade my laptop?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),I need to know the location where I can upgrade my laptop.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) ),Is there a place nearby that offers laptop upgrading services?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) ),0.9152059,0.9103518,0.880699,False,True,True,False,True,True,False,True,True,7.0,7.0,7.0
Could you offer three barbershops in Newtown,FindStores,"[['location', 'Newtown']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ),ParaQuality,16,Can you recommend three barbershops in Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),"I'm looking for three barbershops in Newtown, could you help me find them?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",Do you have any suggestions for three barbershops in Newtown?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.93410647,0.89940214,0.9143536,False,True,True,False,True,True,False,True,True,1.0,6.0,2.0
Let me have top three convenience stores near Newtown,FindStores,"[['location', 'Newtown'], ['business', 'convenience stores']]",( S ( VP ( VB ) ( S ) ) ),ParaQuality,17,Can you show me the best three convenience stores close to Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),I'm interested in finding the top three convenience stores in the vicinity of Newtown. Could you help me with that?,( S ( NP ( PRP ) ) ( VP ( VP ) ( . ) ( SQ ) ) ( . ) ),Could you please provide a list of the three most convenient stores near Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),0.9060087,0.8882313,0.8878863,False,True,True,False,True,True,False,True,True,7.0,6.0,7.0
I want reviews for McDonald's at Kensington st.,GetReviews,"[['location', 'Kensington st.'], ['business', ""McDonald's""]]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( PP ) ) ( . ) ),ParaQuality,18,Can you give me the reviews for the McDonald's located at Kensington st.?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),"I'm interested in knowing what people are saying about the McDonald's restaurant on Kensington st., can you find some reviews?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",Find me some feedback on McDonald's that is situated at Kensington st.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.92073077,0.90930414,0.9328604,False,True,True,False,True,True,False,True,True,4.0,3.0,4.0
How far is the closest cab,FindTaxi,[],( SBARQ ( WHADVP ( WRB ) ( RB ) ) ( VP ( VBZ ) ( NP ) ) ),ParaQuality,19,What is the distance to the nearest taxi?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) ),How long will it take to reach the closest cab?,( SBARQ ( WHADVP ( WRB ) ( RB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),Can you tell me the proximity of the nearest cab?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.9127885,0.90875787,0.8842216,False,True,True,False,True,True,False,True,True,7.0,4.0,8.0
Request a taxi from the airport to home,BookTaxi,"[['from', 'airport'], ['to', 'home']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),ParaQuality,20,Order a taxi to take me from the airport to my house,( S ( VP ( VB ) ( NP ) ( S ) ) ),Can you arrange for a cab to pick me up from the airport and drop me off at home?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( SBAR ) ) ( . ) ),I need transportation from the airport back to my residence. Can you book a taxi for me?,( S ( NP ( PRP ) ) ( VP ( VP ) ( . ) ( SQ ) ) ( . ) ),0.95338076,0.89154,0.9037534,False,True,True,False,True,True,False,True,True,1.0,7.0,6.0
What is the forecast for Harrison-Crawford State Forest,GetWeather,"[['geographic_poi', 'Harrison-Crawford State Forest']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),SNIPS,21,Can you tell me the weather forecast for Harrison-Crawford State Forest?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),What is the predicted weather for Harrison-Crawford State Forest?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) ),Please provide me with the upcoming weather conditions for Harrison-Crawford State Forest.,( S ( WHNP ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.9361989,0.9649629,0.9381671,False,True,True,False,True,True,False,True,True,8.0,4.0,6.0
what is the forecast for colder in Anston,GetWeather,"[['condition_temperature', 'colder'], ['city', 'Anston']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),SNIPS,22,can you provide the weather forecast for colder conditions in Anston?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),"tell me the forecast for Anston, but specifically for colder weather",( S ( VP ( VB ) ( NP ) ( NP ) ) ),what is the predicted weather like in Anston when it gets colder?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( SBAR ) ) ( . ) ),0.90926874,0.90292746,0.9103976,False,True,True,False,True,True,False,True,True,7.0,5.0,5.0
How hot is it in Pesotum,GetWeather,"[['condition_temperature', 'hot'], ['city', 'Pesotum']]",( SBARQ ( WHADJP ( WRB ) ( JJ ) ) ( VP ( VBZ ) ( NP ) ( PP ) ) ),SNIPS,23,What's the temperature like in Pesotum?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) ),Can you tell me the current weather in Pesotum?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),I'd like to know the level of heat in Pesotum.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.939694,0.9020238,0.90892273,False,True,True,False,True,True,False,True,True,6.0,8.0,8.0
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",BookRestaurant,"[['restaurant_type', 'pub'], ['served_dish', 'italian dressing'], ['party_size_number', '5'], ['timeRange', 'February 11, 2033']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,24,"I'm looking for a pub with Italian dressing where I can hold a party of five on February 11, 2033.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),"Can you suggest a pub that serves Italian dressing and can accommodate a party of five on February 11, 2033?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),"Do you know any pubs that offer Italian dressing and are available for hosting a party of five on February 11, 2033?",( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.93312097,0.91719955,0.91106886,False,True,True,False,True,True,False,True,True,2.0,5.0,5.0
Book a taverna in Equatorial Guinea this month for nine people.,BookRestaurant,"[['restaurant_type', 'taverna'], ['country', 'Equatorial Guinea'], ['timeRange', 'this month'], ['party_size_number', 'nine']]",( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),SNIPS,25,Reserve a restaurant in Equatorial Guinea this month for a party of nine.,( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),Make a reservation at a tavern in Equatorial Guinea during this month for a group of nine individuals.,( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ( PP ) ) ( . ) ),Find and book a taverna for nine people in Equatorial Guinea within the current month.,( S ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ) ( . ) ),0.9533251,0.9384031,0.9151174,False,True,True,False,True,True,False,True,True,0.0,2.0,2.0
Book a table for eight people please,BookRestaurant,"[['party_size_number', 'eight']]",( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),SNIPS,26,Can you reserve a table for eight for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ( PP ) ) ( . ) ),"I would like to make a reservation for a party of eight, please.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Could you help me book a table for a group of eight?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),0.890132,0.88188714,0.8901773,False,True,True,False,True,True,False,True,True,7.0,6.0,6.0
Please add Ruud Jolie to my playlist Guest List Polygon,AddToPlaylist,"[['artist', 'Ruud Jolie'], ['playlist_owner', 'my'], ['playlist', 'Guest List Polygon']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,27,Add Ruud Jolie to my playlist titled Guest List Polygon,( S ( VP ( VB ) ( NP ) ( PP ) ) ),Include Ruud Jolie in my Guest List Polygon playlist,( VP ( VB ) ( NP ( NP ) ( PP ) ) ),Put Ruud Jolie on the Guest List Polygon playlist,( S ( VP ( VB ) ( NP ) ( PP ) ) ),0.94484,0.9529699,0.9109112,False,True,True,False,True,True,False,True,True,2.0,3.0,2.0
add this artist named Kirk Hammett to my playlist Party,AddToPlaylist,"[['music_item', 'artist'], ['artist', 'Kirk Hammett'], ['playlist_owner', 'my'], ['playlist', 'Party']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,28,include in my Party playlist this artist called Kirk Hammett,( S ( VP ( VB ) ( PP ) ) ),add to my playlist Party the musician Kirk Hammett,( S ( VP ( VB ) ( PP ) ( NP ) ) ),insert in my playlist called Party the artist named Kirk Hammett,( S ( VP ( VB ) ( PP ) ( NP ) ) ),0.936859,0.9110725,0.92242926,False,True,True,False,True,True,False,True,True,1.0,2.0,2.0
I want to put a copy of this tune into Skatepark Punks,AddToPlaylist,"[['music_item', 'tune'], ['playlist', 'Skatepark Punks']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SNIPS,29,Can you add this song to Skatepark Punks?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),I'd like to include this track in Skatepark Punks.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Is it possible for me to insert this melody into Skatepark Punks?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) ),0.934643,0.9547574,0.93039286,False,True,True,False,True,True,False,True,True,6.0,3.0,8.0
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",RateBook,"[['object_name', 'With Lee in Virginia, A Story of the American Civil War'], ['object_part_of_series_type', 'chronicle'], ['rating_value', '4'], ['best_rating', '6']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,30,"I want to rate With Lee in Virginia, A Story of the American Civil War part 4 out of 6",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),"Can you provide me with a review for With Lee in Virginia, A Story of the American Civil War chapter 4 from a total of 6 chapters?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),"I'm interested in getting information about the fourth installment of With Lee in Virginia, A Story of the American Civil War which is one part out of six.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ) ( . ) ),0.91222006,0.8737382,0.87839484,False,True,True,False,True,True,False,True,True,2.0,6.0,3.0
Rate this album two out of 6,RateBook,"[['object_select', 'this'], ['object_type', 'album'], ['rating_value', 'two'], ['best_rating', '6']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ),SNIPS,31,Give this album a rating of 2 on a scale of 6.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),Evaluate this album and give it a score of 2 out of 6.,( S ( VP ( VP ) ( CC ) ( VP ) ) ( . ) ),Rate the album and assign it a rating of two out of six.,( S ( VP ( VP ) ( CC ) ( VP ) ) ( . ) ),0.91252196,0.9221142,0.91746,False,True,True,False,True,True,False,True,True,1.0,4.0,4.0
Give the current part of the saga 4 points out of 6.,RateBook,"[['object_select', 'current'], ['object_part_of_series_type', 'saga'], ['rating_value', '4'], ['rating_unit', 'points'], ['best_rating', '6']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),SNIPS,32,Rate the current installment of the saga with 4 out of 6 points.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Assign a score of 4 out of 6 to the current part of the saga.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Give a rating of 4 out of 6 to the latest episode in the series.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.95930254,0.9312731,0.89908683,False,True,True,False,True,True,False,True,True,1.0,1.0,1.0
Can you play some fifties music by lavern baker,PlayMusic,"[['year', 'fifties'], ['artist', 'lavern baker']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,33,Could you please play some music from the fifties by Lavern Baker?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),"I'd like to listen to some songs from the 1950s by Lavern Baker, can you make that happen?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",Is it possible for you to put on some fifties music performed by Lavern Baker?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) ),0.91405666,0.8756125,0.90234536,False,True,True,False,True,True,False,True,True,4.0,6.0,8.0
Play a 1964 track from Shahram Nazeri on Pandora.,PlayMusic,"[['year', '1964'], ['music_item', 'track'], ['artist', 'Shahram Nazeri'], ['service', 'Pandora']]",( S ( VP ( VB ) ( NP ) ) ( . ) ),SNIPS,34,Listen to a song from Shahram Nazeri released in 1964 on Pandora.,( S ( VP ( VB ) ( PP ) ) ( . ) ),Stream a track by Shahram Nazeri from the year 1964 on Pandora.,( S ( VP ( VB ) ( NP ) ) ( . ) ),Play a song by Shahram Nazeri that was released in 1964 on Pandora.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.95540357,0.97008175,0.93519765,False,True,True,False,True,True,False,True,True,1.0,0.0,0.0
Please play me some Satire music,PlayMusic,"[['genre', 'Satire']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),SNIPS,35,Can you play some music that is satirical?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),"I'd like to listen to music with a satirical tone, please.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Could you find and play satirical songs for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ) ( . ) ),0.87761384,0.87413436,0.87818116,False,True,True,False,True,True,False,True,True,6.0,6.0,8.0
When is Crime and Punishment U.S.A. showing?,SearchScreeningEvent,"[['movie_name', 'Crime and Punishment U.S.A.']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) ),SNIPS,36,What time does the movie Crime and Punishment U.S.A. start?,( SBARQ ( WHNP ( WDT ) ( NN ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) ),At what time can I watch Crime and Punishment U.S.A.?,( SBARQ ( WHPP ( IN ) ( WHNP ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),When is the screening of Crime and Punishment U.S.A.?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) ),0.9109502,0.90949565,0.936143,False,True,True,False,True,True,False,True,True,3.0,4.0,1.0
find Fox Theatres with The Caretaker,SearchScreeningEvent,"[['location_name', 'Fox Theatres'], ['movie_name', 'The Caretaker']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,37,search for cinemas showing The Caretaker at Fox Theatres,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),locate Fox Theatres that are currently presenting The Caretaker,( S ( VP ( VB ) ( NP ) ) ),find showings of The Caretaker at Fox Theatres,( S ( VP ( VB ) ( NP ) ) ),0.9056562,0.93167484,0.9155864,False,True,True,False,True,True,False,True,True,5.0,1.0,1.0
I would like to watch The Wedding Ring at the movie theatre,SearchScreeningEvent,"[['movie_name', 'The Wedding Ring'], ['object_location_type', 'movie theatre']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,38,Can you find a showing of The Wedding Ring at a local cinema?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),I'm interested in seeing The Wedding Ring. Is it playing at any movie theaters?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ) ( . ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) ),Is there a screening of The Wedding Ring happening at the cinema?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( VP ( VBG ) ( PP ) ) ( . ) ),0.91178,0.91573113,0.9096589,False,True,True,False,True,True,False,True,True,5.0,8.0,9.0
I want to read the book The Lion Sleeps Tonight,SearchCreativeWork,"[['object_type', 'book'], ['object_name', 'The Lion Sleeps Tonight']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SNIPS,39,I would like to read the book titled The Lion Sleeps Tonight,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),Can you find me the book called The Lion Sleeps Tonight to read?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),Could you please help me find and read the book 'The Lion Sleeps Tonight'?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( S ) ) ( '' ) ( . ) ),0.9657477,0.92079854,0.92587113,False,True,True,False,True,True,False,True,True,2.0,6.0,5.0
find Join the Dots: B-sides and Rarities,SearchCreativeWork,"[['object_name', 'Join the Dots: B-sides and Rarities']]",( S ( VP ( VB ) ( S ) ) ),SNIPS,40,search for Join the Dots: B-sides and Rarities,( NP ( NP ( NP ) ( PP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),look up Join the Dots: B-sides and Rarities,( S ( VP ( VB ) ( PRT ) ( S ) ) ),find albums with B-sides and Rarities from Join the Dots,( S ( VP ( VB ) ( NP ) ) ),0.9817496,0.972985,0.90946114,True,True,False,False,True,True,False,True,True,9.0,1.0,1.0
Where can I buy a used copy of the game called I Lie Around?,SearchCreativeWork,"[['object_type', 'game'], ['object_name', 'I Lie Around']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),SNIPS,41,Where can I purchase a pre-owned version of the game named I Lie Around?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),Where can I find a second-hand copy of the game called I Lie Around for sale?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),Could you please suggest places where I can get my hands on a used edition of the game known as I Lie Around?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),0.96764886,0.96798635,0.92041874,False,True,True,False,True,True,False,True,True,0.0,0.0,7.0
please give me the cheapest flight from denver to pittsburgh,flight,"[['cost_relative', 'cheapest'], ['fromloc.city_name', 'denver'], ['toloc.city_name', 'pittsburgh']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),ATIS,42,Can you find the least expensive airplane ticket from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),I would like to know the most affordable flight option from Denver to Pittsburgh.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Could you help me find the cheapest airfare for a trip from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),0.90868056,0.9065907,0.91183615,False,True,True,False,True,True,False,True,True,6.0,6.0,7.0
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,flight,"[['fromloc.city_name', 'milwaukee'], ['toloc.city_name', 'orlando'], ['depart_date.day_name', 'wednesday'], ['depart_time.period_of_day', 'evening'], ['depart_date.day_name', 'thursday'], ['depart_time.period_of_day', 'morning']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),ATIS,43,I need a flight from Milwaukee to Orlando either on Wednesday evening or Thursday morning.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( PP ) ) ( . ) ),Is there any available flights from Milwaukee to Orlando? I prefer flying either on Wednesday evening or Thursday morning.,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ( PP ) ) ( . ) ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ( PP ) ) ( . ) ),Can you help me find a flight from Milwaukee to Orlando? I'm looking for options either on Wednesday evening or Thursday morning.,( S ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),0.94401276,0.9171501,0.90947783,False,True,True,False,True,True,False,True,True,3.0,12.0,7.0
what is the lowest fare from denver to pittsburgh,airfare,"[['cost_relative', 'lowest'], ['fromloc.city_name', 'denver'], ['toloc.city_name', 'pittsburgh']]",( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,44,Can you tell me the cheapest price for a flight from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),I'm looking for the most affordable fare from Denver to Pittsburgh. Can you help me with that?,( S ( NP ( PRP ) ) ( VP ( VP ) ( . ) ( SQ ) ) ( . ) ),What is the least expensive ticket price for a flight between Denver and Pittsburgh?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VP ) ) ( . ) ),0.88632256,0.8838687,0.9074799,False,True,True,False,True,True,False,True,True,8.0,7.0,3.0
what is the cheapest one way fare from boston to baltimore,airfare,"[['cost_relative', 'cheapest'], ['round_trip', 'one way'], ['fromloc.city_name', 'boston'], ['toloc.city_name', 'baltimore']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,45,What is the least expensive one-way ticket price from Boston to Baltimore?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VP ) ) ( . ) ),Can you tell me the lowest cost for a single journey from Boston to Baltimore?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),How much does it cost for the cheapest one-way fare from Boston to Baltimore?,( SBARQ ( WHNP ( WRB ) ( RB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) ),0.93687165,0.8952031,0.92354774,False,True,True,False,True,True,False,True,True,2.0,8.0,6.0
what is the ground transportation from oakland to san francisco,ground_service,"[['fromloc.city_name', 'oakland'], ['toloc.city_name', 'san francisco']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,46,what are the available options for traveling from Oakland to San Francisco?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBP ) ( NP ) ) ( . ) ),how can I get from Oakland to San Francisco using public transportation?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),tell me about the different modes of transportation between Oakland and San Francisco.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.8966304,0.88972527,0.8891891,False,True,True,False,True,True,False,True,True,4.0,6.0,6.0
can i get a rental car in dallas,ground_service,"[['transport_type', 'rental car'], ['city_name', 'dallas']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),ATIS,47,is it possible for me to rent a car in Dallas?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) ),can I find a rental car available in Dallas?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),are there any rental cars in Dallas that I can get?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) ),0.91823,0.9374788,0.9061001,False,True,True,False,True,True,False,True,True,8.0,2.0,6.0
what airlines fly between boston and atlanta,airline,"[['fromloc.city_name', 'boston'], ['toloc.city_name', 'atlanta']]",( SBAR ( WHNP ( WP ) ) ( S ( NP ) ( VP ) ) ),ATIS,48,which airlines operate flights between Boston and Atlanta,( SBAR ( WHNP ( WDT ) ) ( S ( NP ) ( VP ) ) ),find me the airlines that have flights between Boston and Atlanta,( S ( VP ( VB ) ( S ) ) ),can you tell me the airlines that fly from Boston to Atlanta,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),0.94126964,0.8898604,0.8838149,False,True,True,False,True,True,False,True,True,1.0,5.0,7.0
show me the airlines between boston and denver,airline,"[['fromloc.city_name', 'boston'], ['toloc.city_name', 'denver']]",( S ( VP ( VB ) ( S ) ) ),ATIS,49,display the airlines operating between boston and denver,( S ( VP ( VB ) ( S ) ) ),find out which airlines fly between boston and denver,( S ( VP ( VB ) ( PRT ) ( SBAR ) ) ),show me the list of airlines that connect boston and denver,( S ( VP ( VB ) ( NP ) ( NP ) ) ),0.94741786,0.9360286,0.95911443,False,True,True,False,True,True,False,True,True,0.0,2.0,2.0
